hour,cex_inflow_usd,cex_outflow_usd,cex_tx_count,inst_inflow_usd,inst_outflow_usd,inst_tx_count,stable_inflow_usd,stable_outflow_usd,stable_tx_count
2024-01-07 19:00:00.000 UTC,153745610.39831457,168718041.39708674,9704,195151.7615438513,283781.7252845027,104,123765059.54754522,127541545.1069865,2076
2024-01-07 20:00:00.000 UTC,334746023.35165584,326242121.3489667,10079,148170.2831002738,31670.12402419318,57,285005501.1723914,278378645.488017,2136
2024-01-07 21:00:00.000 UTC,47472253.74900143,47880794.87123158,10483,4772625.280592326,4781333.292400761,43,17326525.63330266,22326984.680029362,2378
2024-01-07 22:00:00.000 UTC,135891454.6321729,148391603.6456496,11486,181584.84387742114,53339.96872089639,32,55900743.92586485,54037474.60710234,2168
2024-01-07 23:00:00.000 UTC,146604266.52399322,108374449.1279159,10169,67798.9846008131,25308.261471085476,33,83294290.49637212,48111388.65107978,2103
2024-01-08 00:00:00.000 UTC,118204563.1605811,166518242.2648336,10712,1989372.4489780094,1215926.5799686871,42,36221160.53403781,71869031.26258123,2241
2024-01-08 01:00:00.000 UTC,190789732.2783772,199035460.21275377,9295,2166850.466959603,996955.8231965047,58,114977510.54726279,126945732.0510361,2073
2024-01-08 02:00:00.000 UTC,214348881.13858575,203477600.47827578,9569,801457.2216872643,3265147.2057418376,40,105938624.84366618,91167722.67532821,1984
2024-01-08 03:00:00.000 UTC,158126506.0524226,161149824.10065946,9700,1453237.0589049645,4120692.6875848733,40,101585835.51537901,92602937.89877938,2453
2024-01-08 04:00:00.000 UTC,136993406.47962222,98669801.75035173,8034,112433.27036888558,986231.760671437,47,80066479.81473428,52769610.847566865,1933
2024-01-08 05:00:00.000 UTC,104112427.49691464,112050869.71491371,9983,3600730.6255475366,1321154.4525345403,59,65402332.63556363,68085253.64314531,2865
2024-01-08 06:00:00.000 UTC,265945290.5628303,262912019.2290266,9581,3349920.849172889,4305825.161888899,41,200931823.94119057,199859478.2619493,2747
2024-01-08 07:00:00.000 UTC,176235724.43027478,217649280.1771793,8833,2758248.350312086,2546673.018781006,54,103813761.6117797,138136110.67556047,2280
2024-01-08 08:00:00.000 UTC,360173096.97291636,349476231.56822,9309,3668855.5340266977,2088302.2408486572,46,85410519.19131315,80921682.20014444,2481
2024-01-08 09:00:00.000 UTC,188554852.52666116,219668071.03833896,9498,1126948.6296254848,2517678.0273273275,49,71428497.18163186,115290007.15531771,2721
2024-01-08 10:00:00.000 UTC,234182211.8471866,216034907.3441607,10225,5137742.5070648845,3094080.2759408737,64,155247868.76892215,116499854.8282528,2904
